data;descricao;valor
31/03/2025;STONE  ELO  CD0110355910;975,78
31/03/2025;STONE  AMEX CD0110355910;118,49
31/03/2025;STONE  VISA CD0110355910;5323,20
31/03/2025;STONE  VISA CD0345085412;671,44
31/03/2025;STONE  MAST CD0345085412;994,08
31/03/2025;STONE  MAST CD0110355910;5002,67
01/04/2025;STONE  ELO  CD0110355910;1112,02
01/04/2025;STONE  MAST CD0345085412;272,47
01/04/2025;STONE  VISA CD0345085412;87,58
01/04/2025;STONE  MAST CD0110355910;410,66
01/04/2025;STONE  VISA CD0110355910;2410,85
01/04/2025;PIX TRANSF MARINET01/04;19,00
01/04/2025;PIX TRANSF MARINET01/04;190,00
01/04/2025;PIX TRANSF ALEX SA01/04;204,00
01/04/2025;REND PAGO APLIC AUT APR;0,02
